epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.4521,0.68912,0.78261,1,0.55469,0.00015003,0.00015003,0.00015003
2,15.3567,0.45172,1,1,0.25977,0.000313594,0.000313594,0.000313594
3,18.026,0.24358,1,1,0.05777,0.000473858,0.000473858,0.000473858
4,19.884,0.11565,1,1,0.00559,0.000630821,0.000630821,0.000630821
5,21.5907,0.0366,1,1,0.00041,0.000784484,0.000784484,0.000784484
6,24.1209,0.02005,1,1,0.00013,0.000934845,0.000934845,0.000934845
7,26.4684,0.01848,1,1,6e-05,0.00108191,0.00108191,0.00108191
8,29.1507,0.00567,1,1,4e-05,0.00122567,0.00122567,0.00122567
9,31.6111,0.0173,1,1,0,0.00136613,0.00136613,0.00136613
10,33.7543,0.00444,1,1,0,0.00150329,0.00150329,0.00150329
11,36.7605,0.01105,1,1,1e-05,0.00150197,0.00150197,0.00150197
12,38.844,0.002,1,1,0.0001,0.00148546,0.00148546,0.00148546
13,40.9966,0.01144,1,1,0.00016,0.00146896,0.00146896,0.00146896
14,43.1624,0.00636,1,1,0.00027,0.00145246,0.00145246,0.00145246
15,46.3391,0.00589,1,1,8e-05,0.00143595,0.00143595,0.00143595
16,48.3998,0.0242,1,1,0,0.00141945,0.00141945,0.00141945
17,50.8415,0.01928,1,1,0,0.00140295,0.00140295,0.00140295
18,52.9044,0.00126,1,1,1e-05,0.00138644,0.00138644,0.00138644
19,55.6904,0.01144,1,1,2e-05,0.00136994,0.00136994,0.00136994
20,58.0478,0.02023,1,1,3e-05,0.00135344,0.00135344,0.00135344
21,59.7442,0.00302,1,1,2e-05,0.00133693,0.00133693,0.00133693
22,62.2537,0.00472,1,1,1e-05,0.00132043,0.00132043,0.00132043
23,64.5861,0.04422,1,1,0,0.00130393,0.00130393,0.00130393
24,66.883,0.0028,1,1,0,0.00128742,0.00128742,0.00128742
25,69.156,0.00673,1,1,0,0.00127092,0.00127092,0.00127092
26,71.523,0.02156,1,1,2e-05,0.00125442,0.00125442,0.00125442
27,74.4243,0.01768,1,1,2e-05,0.00123791,0.00123791,0.00123791
28,76.4605,0.00853,1,1,1e-05,0.00122141,0.00122141,0.00122141
29,78.3337,0.00143,1,1,1e-05,0.00120491,0.00120491,0.00120491
30,80.4651,0.00534,1,1,1e-05,0.0011884,0.0011884,0.0011884
31,82.2122,0.0008,1,1,3e-05,0.0011719,0.0011719,0.0011719
32,84.3113,0.0007,1,1,5e-05,0.0011554,0.0011554,0.0011554
33,85.8338,0.00984,1,1,7e-05,0.00113889,0.00113889,0.00113889
34,87.9442,0.01496,1,1,3e-05,0.00112239,0.00112239,0.00112239
35,90.1818,0.00457,1,1,2e-05,0.00110589,0.00110589,0.00110589
36,92.7542,0.0126,1,1,0,0.00108938,0.00108938,0.00108938
37,94.9877,0.00135,1,1,0,0.00107288,0.00107288,0.00107288
38,97.0695,0.00247,1,1,0,0.00105638,0.00105638,0.00105638
39,99.699,0.00239,1,1,1e-05,0.00103987,0.00103987,0.00103987
40,102.927,0.00033,1,1,0,0.00102337,0.00102337,0.00102337
41,104.54,0.02226,1,1,0,0.00100687,0.00100687,0.00100687
42,106.821,0.00195,1,1,0,0.000990365,0.000990365,0.000990365
43,109.258,0.00082,1,1,0,0.000973861,0.000973861,0.000973861
44,111.977,0.00796,1,1,2e-05,0.000957358,0.000957358,0.000957358
45,113.99,0.00349,1,1,4e-05,0.000940855,0.000940855,0.000940855
46,115.924,0.01709,1,1,0,0.000924352,0.000924352,0.000924352
47,118.354,0.0004,1,1,0,0.000907848,0.000907848,0.000907848
48,121.317,0.00098,1,1,0,0.000891345,0.000891345,0.000891345
49,123.217,0.01664,1,1,0,0.000874842,0.000874842,0.000874842
50,125.297,0.0007,1,1,0,0.000858338,0.000858338,0.000858338
51,127.291,0.0056,1,1,0,0.000841835,0.000841835,0.000841835
52,129.78,0.01242,1,1,0,0.000825332,0.000825332,0.000825332
53,132.018,0.00103,1,1,0,0.000808828,0.000808828,0.000808828
54,134.466,0.00121,1,1,0,0.000792325,0.000792325,0.000792325
55,136.51,0.00127,1,1,0,0.000775822,0.000775822,0.000775822
56,138.433,0.00058,1,1,0,0.000759318,0.000759318,0.000759318
57,140.757,0.00138,1,1,0,0.000742815,0.000742815,0.000742815
58,142.69,0.0037,1,1,0,0.000726312,0.000726312,0.000726312
59,145.068,0.0011,1,1,0,0.000709809,0.000709809,0.000709809
60,147.078,0.00289,1,1,0,0.000693305,0.000693305,0.000693305
61,149.508,0.00022,1,1,0,0.000676802,0.000676802,0.000676802
62,151.571,0.00269,1,1,0,0.000660299,0.000660299,0.000660299
63,153.594,0.00061,1,1,0,0.000643795,0.000643795,0.000643795
64,155.819,0.0944,1,1,0,0.000627292,0.000627292,0.000627292
65,158.125,0.00868,1,1,0,0.000610789,0.000610789,0.000610789
66,160.371,0.00048,1,1,0,0.000594286,0.000594286,0.000594286
67,162.574,0.01618,1,1,0,0.000577782,0.000577782,0.000577782
68,165.343,0.00793,1,1,0,0.000561279,0.000561279,0.000561279
69,167.673,0.00061,1,1,0,0.000544776,0.000544776,0.000544776
70,169.988,0.00203,1,1,0,0.000528272,0.000528272,0.000528272
71,172.046,0.00545,1,1,0,0.000511769,0.000511769,0.000511769
72,174.637,0.00119,1,1,0,0.000495266,0.000495266,0.000495266
73,176.713,0.003,1,1,0,0.000478762,0.000478762,0.000478762
74,179.434,0.00373,1,1,0,0.000462259,0.000462259,0.000462259
75,181.691,0.00225,1,1,0,0.000445756,0.000445756,0.000445756
76,183.843,0.0006,1,1,0,0.000429253,0.000429253,0.000429253
77,186.037,0.00463,1,1,0,0.000412749,0.000412749,0.000412749
78,188.617,0.00802,1,1,0,0.000396246,0.000396246,0.000396246
79,191.059,0.00441,1,1,0,0.000379743,0.000379743,0.000379743
80,193.209,0.00419,1,1,0,0.000363239,0.000363239,0.000363239
81,195.683,0.00057,1,1,0,0.000346736,0.000346736,0.000346736
82,197.699,0.0001,1,1,0,0.000330233,0.000330233,0.000330233
