epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.27709,0.72066,0.82609,1,0.51953,0.00015003,0.00015003,0.00015003
2,2.78663,0.3609,1,1,0.15881,0.000285374,0.000285374,0.000285374
3,3.25021,0.2015,1,1,0.05075,0.000387711,0.000387711,0.000387711
4,3.69443,0.06914,1,1,0.0103,0.000457041,0.000457041,0.000457041
5,4.14362,0.03632,1,1,0.00287,0.000493365,0.000493365,0.000493365
6,4.56205,0.0127,1,1,0.00145,0.000496683,0.000496683,0.000496683
7,5.01802,0.01125,1,1,0.00111,0.000466993,0.000466993,0.000466993
8,5.4504,0.02585,1,1,0.00067,0.000404298,0.000404298,0.000404298
9,5.87966,0.01514,1,1,0.00059,0.000308595,0.000308595,0.000308595
10,6.32742,0.02267,1,1,0.00043,0.000179886,0.000179886,0.000179886
